,horizontalDifference,trial
0,15.62957763671875,vp16_63_Session1_d01_fam02_16
1,15.62957763671875,vp16_63_Session1_d01_fam02_16
2,15.62957763671875,vp16_63_Session1_d01_fam02_16
0,15.3079833984375,vp16_64_Session1_d01_fam02_17
1,15.3079833984375,vp16_64_Session1_d01_fam02_17
2,15.3079833984375,vp16_64_Session1_d01_fam02_17
0,14.74371337890625,vp16_65_Session1_d01_fam02_18
1,14.74371337890625,vp16_65_Session1_d01_fam02_18
2,14.74371337890625,vp16_65_Session1_d01_fam02_18
0,16.23431396484375,vp16_66_Session1_d01_fam02_19
1,16.23431396484375,vp16_66_Session1_d01_fam02_19
2,16.23431396484375,vp16_66_Session1_d01_fam02_19
0,4.5438232421875,vp16_67_Session1_d01_fam02_20
1,4.5438232421875,vp16_67_Session1_d01_fam02_20
2,4.5438232421875,vp16_67_Session1_d01_fam02_20
0,8.895751953125,vp16_68_Session1_d01_fam02_21
1,8.895751953125,vp16_68_Session1_d01_fam02_21
2,8.895751953125,vp16_68_Session1_d01_fam02_21
0,15.903778076171875,vp16_69_Session1_d01_fam02_22
1,15.903778076171875,vp16_69_Session1_d01_fam02_22
2,15.903778076171875,vp16_69_Session1_d01_fam02_22
0,10.022796630859375,vp16_70_Session1_d01_fam02_23
1,10.022796630859375,vp16_70_Session1_d01_fam02_23
2,10.022796630859375,vp16_70_Session1_d01_fam02_23
0,18.690032958984375,vp16_71_Session1_d01_fam02_24
1,18.690032958984375,vp16_71_Session1_d01_fam02_24
2,18.690032958984375,vp16_71_Session1_d01_fam02_24
0,-1.859649658203125,vp16_72_Session1_d01_fam02_25
1,-1.859649658203125,vp16_72_Session1_d01_fam02_25
2,-1.859649658203125,vp16_72_Session1_d01_fam02_25
0,10.762359619140625,vp16_73_Session1_d01_fam02_26
1,10.762359619140625,vp16_73_Session1_d01_fam02_26
2,10.762359619140625,vp16_73_Session1_d01_fam02_26
3,3.836181640625,vp16_73_Session1_d01_fam02_26
4,3.836181640625,vp16_73_Session1_d01_fam02_26
5,3.836181640625,vp16_73_Session1_d01_fam02_26
0,11.50665283203125,vp16_74_Session1_d01_fam02_27
1,11.50665283203125,vp16_74_Session1_d01_fam02_27
2,11.50665283203125,vp16_74_Session1_d01_fam02_27
0,22.9256591796875,vp16_75_Session1_d01_fam02_28
1,22.9256591796875,vp16_75_Session1_d01_fam02_28
2,22.9256591796875,vp16_75_Session1_d01_fam02_28
3,10.5528564453125,vp16_75_Session1_d01_fam02_28
4,10.5528564453125,vp16_75_Session1_d01_fam02_28
5,10.5528564453125,vp16_75_Session1_d01_fam02_28
0,8.31689453125,vp16_76_Session1_d01_fam02_29
1,8.31689453125,vp16_76_Session1_d01_fam02_29
2,8.31689453125,vp16_76_Session1_d01_fam02_29
0,10.0836181640625,vp16_77_Session1_d01_fam02_30
1,10.0836181640625,vp16_77_Session1_d01_fam02_30
2,10.0836181640625,vp16_77_Session1_d01_fam02_30
0,5.9039306640625,vp16_78_Session1_d01_fam02_31
1,5.9039306640625,vp16_78_Session1_d01_fam02_31
2,5.9039306640625,vp16_78_Session1_d01_fam02_31
0,9.927825927734375,vp16_79_Session1_d01_fam02_32
1,9.927825927734375,vp16_79_Session1_d01_fam02_32
2,9.927825927734375,vp16_79_Session1_d01_fam02_32
0,9.4034423828125,vp16_80_Session1_d01_fam02_33
1,9.4034423828125,vp16_80_Session1_d01_fam02_33
2,9.4034423828125,vp16_80_Session1_d01_fam02_33
0,16.56866455078125,vp16_81_Session1_d01_fam02_34
1,16.56866455078125,vp16_81_Session1_d01_fam02_34
2,16.56866455078125,vp16_81_Session1_d01_fam02_34
3,5.9013671875,vp16_81_Session1_d01_fam02_34
4,5.9013671875,vp16_81_Session1_d01_fam02_34
5,5.9013671875,vp16_81_Session1_d01_fam02_34
0,6.69903564453125,vp16_82_Session1_d01_fam02_35
1,6.69903564453125,vp16_82_Session1_d01_fam02_35
2,6.69903564453125,vp16_82_Session1_d01_fam02_35
0,10.393096923828125,vp16_83_Session1_d01_fam02_36
1,10.393096923828125,vp16_83_Session1_d01_fam02_36
2,10.393096923828125,vp16_83_Session1_d01_fam02_36
0,14.549224853515625,vp16_84_Session1_d01_fam02_37
1,14.549224853515625,vp16_84_Session1_d01_fam02_37
2,14.549224853515625,vp16_84_Session1_d01_fam02_37
0,15.75537109375,vp16_85_Session1_d01_fam02_38
1,15.75537109375,vp16_85_Session1_d01_fam02_38
2,15.75537109375,vp16_85_Session1_d01_fam02_38
0,15.669708251953125,vp16_86_Session1_d01_fam02_39
1,15.669708251953125,vp16_86_Session1_d01_fam02_39
2,15.669708251953125,vp16_86_Session1_d01_fam02_39
0,-0.08111572265625,vp16_87_Session1_d01_fam02_40
1,-0.08111572265625,vp16_87_Session1_d01_fam02_40
2,-0.08111572265625,vp16_87_Session1_d01_fam02_40
0,-0.20733642578125,vp16_88_Session1_d01_fam02_41
1,-0.20733642578125,vp16_88_Session1_d01_fam02_41
2,-0.20733642578125,vp16_88_Session1_d01_fam02_41
0,7.1031494140625,vp16_90_Session1_d01_fam02_43
1,7.1031494140625,vp16_90_Session1_d01_fam02_43
2,7.1031494140625,vp16_90_Session1_d01_fam02_43
0,34.54412841796875,vp16_91_Session1_d01_fam02_44
1,34.54412841796875,vp16_91_Session1_d01_fam02_44
2,34.54412841796875,vp16_91_Session1_d01_fam02_44
3,3.81134033203125,vp16_91_Session1_d01_fam02_44
4,3.81134033203125,vp16_91_Session1_d01_fam02_44
5,3.81134033203125,vp16_91_Session1_d01_fam02_44
0,1.998260498046875,vp16_92_Session1_d01_fam02_45
1,1.998260498046875,vp16_92_Session1_d01_fam02_45
2,1.998260498046875,vp16_92_Session1_d01_fam02_45
0,18.216339111328125,vp16_93_Session1_d01_fam02_46
1,18.216339111328125,vp16_93_Session1_d01_fam02_46
2,18.216339111328125,vp16_93_Session1_d01_fam02_46
3,1.87335205078125,vp16_93_Session1_d01_fam02_46
4,1.87335205078125,vp16_93_Session1_d01_fam02_46
5,1.87335205078125,vp16_93_Session1_d01_fam02_46
0,7.4315185546875,vp16_94_Session1_d01_fam02_47
1,7.4315185546875,vp16_94_Session1_d01_fam02_47
2,7.4315185546875,vp16_94_Session1_d01_fam02_47
0,17.533721923828125,vp16_95_Session1_d01_fam02_48
1,17.533721923828125,vp16_95_Session1_d01_fam02_48
2,17.533721923828125,vp16_95_Session1_d01_fam02_48
3,9.95758056640625,vp16_95_Session1_d01_fam02_48
4,9.95758056640625,vp16_95_Session1_d01_fam02_48
5,9.95758056640625,vp16_95_Session1_d01_fam02_48
6,2.68719482421875,vp16_95_Session1_d01_fam02_48
7,2.68719482421875,vp16_95_Session1_d01_fam02_48
8,2.68719482421875,vp16_95_Session1_d01_fam02_48
0,16.324920654296875,vp16_96_Session1_d01_b01_1
1,16.324920654296875,vp16_96_Session1_d01_b01_1
2,16.324920654296875,vp16_96_Session1_d01_b01_1
0,27.16241455078125,vp16_97_Session1_d01_b01_2
1,27.16241455078125,vp16_97_Session1_d01_b01_2
2,27.16241455078125,vp16_97_Session1_d01_b01_2
3,-35.05389404296875,vp16_97_Session1_d01_b01_2
4,-35.05389404296875,vp16_97_Session1_d01_b01_2
5,-35.05389404296875,vp16_97_Session1_d01_b01_2
0,-26.64727783203125,vp16_100_Session1_d01_b01_5
1,-26.64727783203125,vp16_100_Session1_d01_b01_5
2,-26.64727783203125,vp16_100_Session1_d01_b01_5
0,-20.182525634765625,vp16_101_Session1_d01_b01_6
1,-20.182525634765625,vp16_101_Session1_d01_b01_6
2,-20.182525634765625,vp16_101_Session1_d01_b01_6
3,-37.6732177734375,vp16_101_Session1_d01_b01_6
4,-37.6732177734375,vp16_101_Session1_d01_b01_6
5,-37.6732177734375,vp16_101_Session1_d01_b01_6
0,-20.752838134765625,vp16_103_Session1_d01_b01_8
1,-20.752838134765625,vp16_103_Session1_d01_b01_8
