,horizontalDifference,trial
1,-5.39813232421875,vp1_85_Session3_d03_b02_38
2,-5.39813232421875,vp1_85_Session3_d03_b02_38
0,19.550933837890625,vp1_86_Session3_d03_b02_39
1,19.550933837890625,vp1_86_Session3_d03_b02_39
2,19.550933837890625,vp1_86_Session3_d03_b02_39
0,9.67852783203125,vp1_87_Session3_d03_b02_40
1,9.67852783203125,vp1_87_Session3_d03_b02_40
2,9.67852783203125,vp1_87_Session3_d03_b02_40
0,-10.167816162109375,vp1_88_Session3_d03_b02_41
1,-10.167816162109375,vp1_88_Session3_d03_b02_41
2,-10.167816162109375,vp1_88_Session3_d03_b02_41
0,-20.0123291015625,vp1_89_Session3_d03_b02_42
1,-20.0123291015625,vp1_89_Session3_d03_b02_42
2,-20.0123291015625,vp1_89_Session3_d03_b02_42
0,19.04083251953125,vp1_90_Session3_d03_b02_43
1,19.04083251953125,vp1_90_Session3_d03_b02_43
2,19.04083251953125,vp1_90_Session3_d03_b02_43
0,0.462432861328125,vp1_91_Session3_d03_b02_44
1,0.462432861328125,vp1_91_Session3_d03_b02_44
2,0.462432861328125,vp1_91_Session3_d03_b02_44
0,12.183624267578125,vp1_92_Session3_d03_b02_45
1,12.183624267578125,vp1_92_Session3_d03_b02_45
2,12.183624267578125,vp1_92_Session3_d03_b02_45
0,1.35272216796875,vp1_93_Session3_d03_b02_46
1,1.35272216796875,vp1_93_Session3_d03_b02_46
2,1.35272216796875,vp1_93_Session3_d03_b02_46
0,-10.09783935546875,vp1_94_Session3_d03_b02_47
1,-10.09783935546875,vp1_94_Session3_d03_b02_47
2,-10.09783935546875,vp1_94_Session3_d03_b02_47
0,22.740814208984375,vp1_95_Session3_d03_b02_48
1,22.740814208984375,vp1_95_Session3_d03_b02_48
2,22.740814208984375,vp1_95_Session3_d03_b02_48
0,0.607391357421875,vp1_96_Session3_d03_b03_1
1,0.607391357421875,vp1_96_Session3_d03_b03_1
2,0.607391357421875,vp1_96_Session3_d03_b03_1
0,11.102294921875,vp1_97_Session3_d03_b03_2
1,11.102294921875,vp1_97_Session3_d03_b03_2
2,11.102294921875,vp1_97_Session3_d03_b03_2
0,-23.742919921875,vp1_98_Session3_d03_b03_3
1,-23.742919921875,vp1_98_Session3_d03_b03_3
2,-23.742919921875,vp1_98_Session3_d03_b03_3
0,8.11322021484375,vp1_99_Session3_d03_b03_4
1,8.11322021484375,vp1_99_Session3_d03_b03_4
2,8.11322021484375,vp1_99_Session3_d03_b03_4
0,13.14434814453125,vp1_100_Session3_d03_b03_5
1,13.14434814453125,vp1_100_Session3_d03_b03_5
2,13.14434814453125,vp1_100_Session3_d03_b03_5
0,-10.277801513671875,vp1_101_Session3_d03_b03_6
1,-10.277801513671875,vp1_101_Session3_d03_b03_6
2,-10.277801513671875,vp1_101_Session3_d03_b03_6
0,-3.692291259765625,vp1_102_Session3_d03_b03_7
1,-3.692291259765625,vp1_102_Session3_d03_b03_7
2,-3.692291259765625,vp1_102_Session3_d03_b03_7
0,7.723602294921875,vp1_103_Session3_d03_b03_8
1,7.723602294921875,vp1_103_Session3_d03_b03_8
2,7.723602294921875,vp1_103_Session3_d03_b03_8
0,3.061309814453125,vp1_104_Session3_d03_b03_9
1,3.061309814453125,vp1_104_Session3_d03_b03_9
2,3.061309814453125,vp1_104_Session3_d03_b03_9
0,11.537811279296875,vp1_105_Session3_d03_b03_10
1,11.537811279296875,vp1_105_Session3_d03_b03_10
2,11.537811279296875,vp1_105_Session3_d03_b03_10
0,12.63568115234375,vp1_106_Session3_d03_b03_11
1,12.63568115234375,vp1_106_Session3_d03_b03_11
2,12.63568115234375,vp1_106_Session3_d03_b03_11
0,8.3084716796875,vp1_107_Session3_d03_b03_12
1,8.3084716796875,vp1_107_Session3_d03_b03_12
2,8.3084716796875,vp1_107_Session3_d03_b03_12
0,25.022064208984375,vp1_108_Session3_d03_b03_13
1,25.022064208984375,vp1_108_Session3_d03_b03_13
2,25.022064208984375,vp1_108_Session3_d03_b03_13
0,-19.837158203125,vp1_109_Session3_d03_b03_14
1,-19.837158203125,vp1_109_Session3_d03_b03_14
2,-19.837158203125,vp1_109_Session3_d03_b03_14
0,10.809478759765625,vp1_111_Session3_d03_b03_16
1,10.809478759765625,vp1_111_Session3_d03_b03_16
2,10.809478759765625,vp1_111_Session3_d03_b03_16
0,13.555877685546875,vp1_112_Session3_d03_b03_17
1,13.555877685546875,vp1_112_Session3_d03_b03_17
2,13.555877685546875,vp1_112_Session3_d03_b03_17
